appid,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,total_reviews,positive_ratio,log_owners,is_free,Action,Adventure,RPG,Strategy,Simulation,Sports,Racing,release_quarter,release_dayofweek,release_is_q4,release_is_holiday,release_is_summer,release_is_tuesday,required_age,has_website,has_support_email,platform_windows,platform_mac,platform_linux,platform_count,supported_languages_count,full_audio_languages_count,weighted_language_score,screenshot_count,about_length,short_desc_length,has_detailed_desc,is_multiplayer,has_achievements,has_cloud_save,has_controller_support,has_vr_support,has_in_app_purchases,has_family_sharing,category_count,tag_count,top_tag_votes_total,top_tag_votes_mean,tag_singleplayer,tag_action,tag_casual,tag_adventure,tag_2d,tag_3d,tag_strategy,tag_simulation,tag_puzzle,tag_atmospheric,tag_rpg,tag_colorful,tag_pixel_graphics,tag_story_rich,tag_exploration,tag_cute,tag_firstperson,tag_arcade,tag_fantasy,tag_early_access,tag_multiplayer,tag_funny,tag_horror,tag_actionadventure,tag_retro,tag_shooter,tag_relaxing,tag_family_friendly,tag_platformer,tag_scifi,tag_anime,tag_combat,tag_female_protagonist,tag_controller,tag_topdown,tag_stylized,tag_third_person,tag_survival,tag_2d_platformer,tag_difficult,tag_mystery,tag_linear,tag_cartoony,tag_psychological_horror,tag_dark,tag_realistic,tag_comedy,tag_open_world,tag_choices_matter,tag_visual_novel,package_count,sku_count,achievement_count,release_month,store_page_score,platform_reach,is_mature_content,marketing_score,steam_integration,localization_score
1490910,17,2,10000.0,0,0,0,0,99.0,99.0,0.0,0,19,0.8947368421052632,9.210440366976515,0,0,0,0,0,0,0,0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,5.0,283.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,262.0,52.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,12.0,0.28466204506065856,0.3333333333333333,0,0.42500000000000004,0.15,0.12998266897746966
1516190,21,4,75000.0,0,0,0,0,2999.0,2999.0,0.0,1,25,0.84,11.225256725762891,0,0,0,0,0,1,0,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,40.0,0.0,0.9948006932409011,19.0,3111.0,201.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,10.0,221.0,44.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,0.9489601386481802,0.6666666666666666,0,0.8,0.75,0.7461005199306758
538000,51,7,10000.0,11,0,11,0,499.0,499.0,0.0,0,58,0.8793103448275862,9.210440366976515,0,0,0,0,0,0,0,0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.4072790294627383,6.0,1687.0,241.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,6.0,124.0,24.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.7214558058925477,0.3333333333333333,0,0.8200000000000001,0.4,0.3554592720970537
509920,28,16,10000.0,164,0,196,0,99.0,99.0,0.0,0,44,0.6363636363636364,9.210440366976515,0,0,1,0,0,0,0,0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17331022530329288,6.0,1123.0,176.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,8.0,103.0,20.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,28.0,12.0,0.6746620450606586,0.3333333333333333,0,0.8200000000000001,0.75,0.15498266897746965
3445380,10,4,10000.0,0,0,0,0,399.0,399.0,0.0,0,14,0.7142857142857143,9.210440366976515,0,1,1,0,0,0,0,0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,11.0,994.0,298.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,20.0,1318.0,263.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.7346620450606587,0.3333333333333333,0,0.65,0.4,0.12998266897746966
3436860,8,1,10000.0,0,0,0,0,999.0,999.0,0.0,0,9,0.8888888888888888,9.210440366976515,0,0,1,0,0,0,0,0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17331022530329288,5.0,2107.0,241.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,230.0,46.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,0.5346620450606586,0.3333333333333333,0,0.42500000000000004,0.5,0.15498266897746965
832500,204,28,10000.0,4,0,4,0,2499.0,2499.0,0.0,1,232,0.8793103448275862,9.210440366976515,0,0,1,0,0,0,0,0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,0.6967071057192374,16.0,2411.0,158.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,14.0,20.0,699.0,139.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,60.0,8.0,0.9393414211438476,1.0,0,1.0,1.0,0.5725303292894282
2428960,3,0,10000.0,0,0,0,0,199.0,199.0,0.0,0,3,1.0,9.210440366976515,0,0,1,0,0,0,0,0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,8.0,527.0,242.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,18.0,763.0,152.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,6.0,0.6546620450606587,0.3333333333333333,0,0.56,0.5,0.12998266897746966
800390,33,4,10000.0,0,0,0,0,1499.0,1499.0,0.0,0,37,0.8918918918918919,9.210440366976515,0,0,0,0,0,0,0,0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,7.0,1181.0,243.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,17.0,347.0,69.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.7146620450606587,0.3333333333333333,0,0.865,0.15,0.12998266897746966
1467330,1,0,10000.0,0,0,0,0,499.0,499.0,0.0,0,1,1.0,9.210440366976515,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.24263431542461003,5.0,796.0,90.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,17.0,233.0,46.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,0.548526863084922,0.6666666666666666,0,0.42500000000000004,1.0,0.18197573656845753
