,Importance
store_page_score,0.04415431667372065
about_length,0.04352091179427058
short_desc_length,0.041810077737732536
achievement_count,0.04103255284689557
initialprice,0.04036136173058737
localization_score,0.03671164177569276
price,0.035720276652021696
category_count,0.03338578432716593
weighted_language_score,0.03314223231311739
tag_count,0.030954737632106273
screenshot_count,0.030728816461253743
release_month,0.0304032812989351
marketing_score,0.028770973193405134
supported_languages_count,0.026514242701698512
release_dayofweek,0.020795290496787876
steam_integration,0.018792103908157682
full_audio_languages_count,0.017689559391491468
tag_multiplayer,0.01682507902094161
release_quarter,0.01568539610998413
tag_singleplayer,0.010801880603460634
tag_casual,0.009792760813910601
sku_count,0.009756119925246453
platform_reach,0.009657037208844773
platform_count,0.00921637035431282
has_website,0.00857992524895658
Adventure,0.00847690712953338
tag_adventure,0.008231849172288268
has_support_email,0.0081746837695153
Action,0.008156797343253681
Strategy,0.008139662540198473
tag_atmospheric,0.008094417133022372
tag_action,0.008058913174108425
tag_open_world,0.007632654985701933
has_cloud_save,0.0076153397068207665
tag_2d,0.007567685425592705
RPG,0.007554910547431213
has_controller_support,0.007442173928789502
tag_strategy,0.007412584676464723
tag_firstperson,0.006902097094079721
tag_story_rich,0.006806847473851471
Simulation,0.0067207368918838105
tag_rpg,0.0065858448637253625
tag_shooter,0.006474711164674818
tag_simulation,0.006472824471765259
platform_mac,0.006380363911077105
is_multiplayer,0.006289399028209295
tag_3d,0.006196491484787383
release_is_tuesday,0.0061324632668475765
has_achievements,0.0059197943734380035
release_is_summer,0.00589259334119355
tag_third_person,0.005704149915674372
release_is_q4,0.005541808306137433
tag_difficult,0.005475048362335579
tag_puzzle,0.005454924315088587
tag_horror,0.005400744998428936
tag_funny,0.005108798399547531
tag_scifi,0.005041732743786239
tag_exploration,0.005029432953384165
platform_linux,0.004973156817163177
tag_fantasy,0.004834408977866281
required_age,0.004806848618646747
tag_cute,0.004609947560209876
tag_colorful,0.004602529495579074
tag_pixel_graphics,0.004563661471607402
tag_anime,0.0044543120303841026
tag_female_protagonist,0.004376892040997285
tag_arcade,0.004107826365962217
tag_survival,0.004102612242541798
tag_psychological_horror,0.004029965163079029
tag_retro,0.003915551660504053
tag_early_access,0.0039017417345074573
tag_platformer,0.003825327519765236
tag_realistic,0.0036143102478086208
tag_comedy,0.0035279004246015
release_is_holiday,0.0034536948647000522
is_free,0.003452564063321042
tag_dark,0.003303047995891748
tag_choices_matter,0.003276610833109255
Sports,0.003231456139030022
tag_topdown,0.0032194828776415246
tag_family_friendly,0.0031238679812971367
tag_mystery,0.0030995812561687604
tag_actionadventure,0.0030495132785196715
tag_combat,0.002973356422877578
tag_relaxing,0.002931410645449083
has_family_sharing,0.0028375296747414434
is_mature_content,0.0028268102336882843
package_count,0.0028179179710969586
tag_visual_novel,0.002771801441357284
has_in_app_purchases,0.00269099189157221
tag_controller,0.0026876645420070844
tag_stylized,0.002638458116441555
has_detailed_desc,0.0025118319346488873
tag_cartoony,0.002273571792007531
tag_2d_platformer,0.00204584192852354
Racing,0.0017174388691916576
tag_linear,0.001679462601609261
has_vr_support,0.00024698316054979746
platform_windows,0.0
