feature,shap_class0,shap_class5,direction,impact_score
top_tag_votes_mean,0.025,-0.0167,lower is better,0.0417
top_tag_votes_total,0.025,-0.0166,lower is better,0.0416
has_trading_cards,0.0261,-0.0063,lower is better,0.0324
initialprice,0.0132,-0.0066,lower is better,0.0198
achievement_count,0.0105,-0.0051,lower is better,0.0156
price,0.0116,-0.0032,lower is better,0.0149
store_page_score,0.0112,-0.0037,lower is better,0.0148
localization_score,0.0101,-0.0046,lower is better,0.0147
steam_integration,0.0118,-0.003,lower is better,0.0147
dlc_count,0.0078,-0.0061,lower is better,0.0138
marketing_score,0.0086,-0.0045,lower is better,0.0131
category_count,0.0081,-0.0047,lower is better,0.0128
about_length,0.0103,-0.0019,lower is better,0.0122
tag_count,0.009,-0.003,lower is better,0.012
release_month,0.0097,-0.0023,lower is better,0.0119
supported_languages_count,0.0074,-0.0039,lower is better,0.0113
has_multiplayer_tag,0.0057,-0.0049,lower is better,0.0106
screenshot_count,0.0074,-0.0031,lower is better,0.0106
Indie,0.0035,-0.0019,lower is better,0.0054
has_website,0.0035,-0.0019,lower is better,0.0054
