,mean_abs_shap
initialprice,0.014572883368798056
tag_count,0.011108834130807646
price,0.010564635513533817
category_count,0.009758659643634808
weighted_language_score,0.009447366606280668
achievement_count,0.009152549253987478
tag_multiplayer,0.008165813874713887
store_page_score,0.008084183052679954
supported_languages_count,0.0074853348533684355
localization_score,0.0071272221549630215
marketing_score,0.004887531455150102
tag_singleplayer,0.004421535827772519
has_website,0.0043868921299231025
about_length,0.004318004653098031
tag_casual,0.004191690865136584
steam_integration,0.0039526438391977925
screenshot_count,0.003768368461595595
short_desc_length,0.003704841284908587
release_month,0.0033441360081978744
full_audio_languages_count,0.002933197892610609
tag_open_world,0.002750610676591612
has_cloud_save,0.0026475692914363688
sku_count,0.0025596456188824086
is_free,0.0024299953978181165
has_support_email,0.002331010253704706
tag_atmospheric,0.002279403327668251
release_dayofweek,0.0020463731225626334
has_controller_support,0.0020296930160430653
Strategy,0.0019367716311137016
RPG,0.001851371862504363
has_achievements,0.0018366097112782
tag_action,0.0018036813500095902
release_quarter,0.0017346130886167974
tag_story_rich,0.0017201127506314186
tag_firstperson,0.0017117028506990351
Adventure,0.0017111915346305305
platform_reach,0.0017064876088280004
platform_count,0.0016644355483929868
Action,0.0015697475860197284
tag_strategy,0.0015641025517494362
is_multiplayer,0.0015210626276962178
tag_shooter,0.0015119630738079206
tag_adventure,0.001475475153527207
platform_mac,0.0014541160481771718
tag_2d,0.001365419428873309
tag_rpg,0.0013480388418837168
tag_third_person,0.0012411516857089092
tag_3d,0.0012347781528775324
required_age,0.0011726708673313534
tag_simulation,0.0011226778141691324
tag_difficult,0.001117181721628255
Simulation,0.001023539042756136
tag_psychological_horror,0.0009548805516230548
tag_horror,0.0009086837384673204
tag_anime,0.000892279491413369
tag_colorful,0.0008846005279818941
release_is_tuesday,0.0008762434038442875
package_count,0.0008089880988733988
tag_female_protagonist,0.0007992992389389274
platform_linux,0.0007992992025141026
tag_funny,0.0007513932898237633
release_is_holiday,0.0007385834813228171
release_is_q4,0.0007322544107152398
is_mature_content,0.0007187898600697242
tag_scifi,0.000718632051666929
has_family_sharing,0.0006566375889507247
tag_puzzle,0.0006421770994528822
tag_survival,0.0006360048189765341
has_in_app_purchases,0.0006332013792428408
Sports,0.0006248241277479726
tag_cute,0.0006159174072084423
release_is_summer,0.0005992913160020922
tag_relaxing,0.0005807896755126927
has_detailed_desc,0.0005634409300531062
tag_retro,0.0005599172646544146
tag_fantasy,0.0005573203954072936
tag_arcade,0.0005441507937576753
tag_early_access,0.0005431621756284718
tag_exploration,0.0005305400608454897
tag_platformer,0.0005169994058569612
tag_pixel_graphics,0.0005166555277874187
tag_realistic,0.0005143037347797025
tag_choices_matter,0.0005123513246374694
tag_mystery,0.000503908678734996
tag_2d_platformer,0.00046633099267068766
tag_comedy,0.00043155417120023173
tag_family_friendly,0.00042467956158878764
tag_actionadventure,0.0004081053777854204
tag_dark,0.0004056258974366219
tag_visual_novel,0.0003694451936175661
tag_combat,0.00031881990295607213
tag_linear,0.00030192187169317345
tag_topdown,0.0002720544407879618
tag_stylized,0.00026112933114246347
Racing,0.00024850771083214697
tag_controller,0.0002426441002363047
tag_cartoony,0.0002425758980484844
has_vr_support,5.235944863226557e-05
platform_windows,0.0
