feature,shap_class0,shap_class5,direction,impact_score
has_trading_cards,0.0249,-0.0066,lower is better,0.0315
tag_count,0.019,-0.0097,lower is better,0.0286
initialprice,0.0143,-0.0085,lower is better,0.0228
dlc_count,0.0098,-0.0088,lower is better,0.0186
achievement_count,0.012,-0.0063,lower is better,0.0183
localization_score,0.0117,-0.0065,lower is better,0.0182
price,0.0126,-0.0045,lower is better,0.0171
store_page_score,0.0115,-0.0044,lower is better,0.016
category_count,0.0097,-0.0062,lower is better,0.0159
steam_integration,0.0119,-0.0037,lower is better,0.0155
about_length,0.012,-0.003,lower is better,0.0151
supported_languages_count,0.0091,-0.0053,lower is better,0.0143
release_month,0.011,-0.0026,lower is better,0.0136
marketing_score,0.009,-0.0045,lower is better,0.0135
has_multiplayer_tag,0.0067,-0.0063,lower is better,0.013
screenshot_count,0.0082,-0.0038,lower is better,0.012
full_audio_languages_count,0.0053,-0.0021,lower is better,0.0075
Indie,0.0042,-0.0021,lower is better,0.0063
has_website,0.0032,-0.0022,lower is better,0.0054
has_support_email,0.0025,-0.0024,lower is better,0.0049
