,mean_abs_shap
tag_count,0.017155814827965927
has_trading_cards,0.01648893804339282
initialprice,0.010682506835224724
localization_score,0.01029537483085099
price,0.008906850327616051
has_multiplayer_tag,0.008768430621572594
supported_languages_count,0.008581520755689442
dlc_count,0.008007483350682652
achievement_count,0.007727118164430354
category_count,0.00716914458310946
store_page_score,0.0068204663046281845
marketing_score,0.006511956785077439
steam_integration,0.006468756262538274
about_length,0.006248008750550034
Indie,0.005688782209097846
release_month,0.005480439536437783
screenshot_count,0.004730967944889231
has_website,0.004636695565966131
full_audio_languages_count,0.003910127827173466
has_support_email,0.0036016083401772037
sku_count,0.003167565066264918
Strategy,0.0030571883947435115
is_free,0.002999772102458806
RPG,0.0028385944490938422
Action,0.0028013215613240435
Adventure,0.0023983237493752176
has_family_sharing,0.0023044555999980057
platform_reach,0.0022899453174712457
has_cloud_save,0.0022398678266849995
platform_count,0.002121407093862436
package_count,0.0019780113128763876
has_controller_support,0.0018948221507063322
Simulation,0.0016410111852644398
required_age,0.0015243872940802125
is_multiplayer,0.0013702499207755038
developer_count,0.0012711415532439332
is_solo_dev,0.0011087404432946369
has_achievements,0.0010776751721772067
is_mature_content,0.0009345907479619758
Sports,0.000933467881155109
has_workshop,0.000867109806290985
publisher_backing,0.0008428738766021864
publisher_count,0.0008284535370520628
has_in_app_purchases,0.000762216855390453
has_detailed_desc,0.0007166867544856603
Racing,0.00031606023179476546
has_publisher,0.0002857931383506228
has_vr_support,5.8728744409418755e-05
trailer_count,0.0
has_trailer,0.0
